"","STUDENT.IDENTIFIER","STDNT_AGE","STDNT_GENDER","STDNT_BACKGROUND","IN_STATE_FLAG","INTERNATIONAL_STS","STDNT_TEST_ENTRANCE_COMB","FIRST_TERM","CORE_COURSE_GRADE_1_F","CORE_COURSE_GRADE_2_F","CORE_COURSE_GRADE_3_F","SECOND_TERM","CORE_COURSE_GRADE_1_S","CORE_COURSE_GRADE_2_S","HOUSING_STS","RETURNED_2ND_YR","DISTANCE_FROM_HOME","HIGH_SCHL_GPA","FATHER_HI_EDU_DESC","MOTHER_HI_EDU_DESC","DEGREE_GROUP_DESC","FIRST_TERM_ATTEMPT_HRS","FIRST_TERM_EARNED_HRS","SECOND_TERM_ATTEMPT_HRS","SECOND_TERM_EARNED_HRS","GROSS_FIN_NEED","COST_OF_ATTEND","EST_FAM_CONTRIBUTION","UNMET_NEED","FIRST_TERM_HRS_PERCENTAGE","SECOND_TERM_HRS_PERCENTAGE"
"1900",8006437,"mid","F","BGD HIGH","Y","N",1030,200908,"High","High","High",201002,"Mid","Mid","On Campus","1",69,"low","College/Beyond","College/Beyond","Bachelors","mid","mid","high","high","mid","mid","mid","mid",1,1
"1901",8032244,"mid","M","BGD MID","Y","N",1220,200908,"High","High","Mid",201002,"Mid","Mid","On Campus","1",0,"high","College/Beyond","College/Beyond","Bachelors","mid","high","high","high","mid","high","mid","mid",1,1
"1902",7846438,"mid","F","BGD HIGH","Y","N",990,201008,"High","High","Mid",201102,"Mid","Mid","Off Campus","1",69,"mid","College/Beyond","No Information","Bachelors","mid","mid","high","high","low","low","low","low",0.692307692307692,1
"1903",8034859,"mid","F","BGD HIGH","Y","N",950,200908,"High","High","High",201002,"Mid","Mid","Off Campus","1",69,"low","College/Beyond","College/Beyond","Bachelors","mid","high","high","high","mid","high","mid","mid",1,0.625
"1904",7758171,"mid","F","BGD MID","Y","N",1110,201008,"High","High","High",201102,"Mid","Mid","On Campus","1",90,"high","Other/Unknown","High School","Bachelors","high","high","high","high","low","low","low","low",1,1
"1905",7974225,"mid","M","BGD HIGH","Y","N",1110,200508,"High","High","High",200602,"Mid","Mid","Off Campus","1",69,"low","High School","High School","Bachelors","low","mid","high","high","low","low","low","low",1,1
"1906",7938878,"mid","F","BGD MID","Y","N",990,200508,"High","High","Mid",200602,"Mid","Mid","On Campus","1",235,"mid","High School","High School","Bachelors","mid","mid","high","high","mid","mid","low","high",1,0.833333333333333
"1907",7833428,"mid","M","BGD HIGH","Y","N",530,200608,"High","High","Mid",200702,"Mid","Mid","Off Campus","1",138,"low","College/Beyond","College/Beyond","Bachelors","low","mid","high","high","low","mid","low","low",1,1
"1908",7836953,"mid","F","BGD MID","Y","N",910,200708,"High","High","High",200802,"Mid","Mid","On Campus","0",137,"low","High School","College/Beyond","Bachelors","mid","mid","high","high","mid","mid","mid","mid",0.733333333333333,1
"1909",7954820,"low","F","BGD MID","Y","N",870,200808,"High","High","Mid",200902,"Mid","Mid","On Campus","1",190,"mid","No Information","College/Beyond","Bachelors","mid","mid","high","high","high","high","low","high",0.692307692307692,1
"1910",7873689,"mid","M","BGD MID","Y","N",740,200908,"High","High","Mid",201002,"Mid","Mid","On Campus","1",181,"mid","College/Beyond","College/Beyond","Bachelors","mid","mid","high","high","high","high","low","high",0.733333333333333,1
"1911",7781814,"mid","M","BGD HIGH","Y","N",1070,201008,"High","High","Mid",201102,"Mid","Mid","Off Campus","1",69,"high","High School","College/Beyond","Bachelors","mid","mid","high","high","low","low","low","low",0.692307692307692,1
"1912",7931010,"mid","F","BGD HIGH","Y","N",830,201008,"High","High","Mid",201102,"Mid","Mid","Off Campus","1",69,"high","Middle School/Junior High","High School","Bachelors","mid","mid","high","high","low","low","low","low",0.692307692307692,1
"1913",7774822,"mid","F","BGD HIGH","Y","N",1300,200908,"High","High","High",201002,"Mid","Mid","On Campus","1",190,"high","College/Beyond","College/Beyond","Bachelors","high","high","high","high","mid","high","mid","high",1,1
"1914",7795704,"mid","M","BGD HIGH","Y","N",1070,200808,"High","High","High",200902,"Mid","Mid","Off Campus","1",69,"high","High School","College/Beyond","Bachelors","mid","mid","high","high","low","mid","mid","low",1,1
"1915",7962646,"mid","F","BGD MID","Y","N",970,200708,"High","High","High",200802,"Mid","Mid","Off Campus","1",69,"high","College/Beyond","College/Beyond","Bachelors","low","mid","high","high","low","low","low","low",1,1
"1916",7779616,"mid","M","BGD HIGH","Y","N",1030,200708,"High","High","High",200802,"Mid","Mid","Off Campus","1",69,"low","No Information","No Information","Bachelors","mid","mid","high","high","low","low","low","low",0.692307692307692,0.75
"1917",7811013,"mid","F","BGD HIGH","N","N",1030,201008,"High","High","Mid",201102,"Mid","Mid","Off Campus","1",0,"high","High School","High School","Bachelors","mid","mid","high","high","low","low","low","low",1,1
"1918",7951816,"mid","M","BGD MID","Y","N",970,200708,"Mid","High","Mid",200802,"Mid","Mid","Off Campus","1",69,"high","College/Beyond","College/Beyond","Bachelors","mid","low","high","high","low","low","low","low",0.384615384615385,0.764705882352941
"1919",7944551,"mid","F","BGD MID","Y","N",970,200808,"Mid","High","High",200902,"Mid","Mid","On Campus","0",0,"high","College/Beyond","Other/Unknown","Bachelors","mid","high","high","high","low","low","low","low",1,1
"1920",7871623,"mid","F","BGD MID","Y","N",790,201008,"Mid","High","Mid",201102,"Mid","Mid","On Campus","1",150,"mid","College/Beyond","High School","Bachelors","mid","mid","high","high","low","low","low","low",0.692307692307692,1
"1921",7829912,"low","M","BGD MID","Y","N",1070,200608,"Mid","High","Mid",200702,"Mid","Mid","On Campus","1",150,"low","College/Beyond","College/Beyond","Bachelors","mid","high","high","high","mid","mid","low","mid",1,0.75
"1922",7835157,"mid","F","BGD HIGH","Y","N",1070,200708,"Mid","High","High",200802,"Mid","Mid","Off Campus","1",188,"high","College/Beyond","Other/Unknown","Bachelors","mid","mid","high","high","mid","mid","mid","mid",1,0.75
"1923",8014058,"mid","F","BGD HIGH","Y","N",530,200608,"Mid","High","High",200702,"Mid","Mid","On Campus","1",69,"high","High School","College/Beyond","Bachelors","mid","high","high","high","low","mid","high","low",1,1
"1924",8032122,"mid","F","BGD HIGH","Y","N",1110,200808,"Mid","High","High",200902,"Mid","Mid","Off Campus","1",138,"mid","College/Beyond","College/Beyond","Bachelors","mid","mid","high","high","low","high","high","low",0.733333333333333,0.833333333333333
"1925",7849656,"mid","F","BGD HIGH","Y","N",1030,201008,"Mid","High","Mid",201102,"Mid","Mid","On Campus","1",69,"high","Other/Unknown","College/Beyond","Bachelors","mid","mid","high","high","low","low","low","low",1,1
"1926",7918048,"low","F","BGD HIGH","Y","N",950,200608,"Mid","High","Mid",200702,"Mid","Mid","Off Campus","1",90,"low","High School","College/Beyond","Bachelors","low","low","high","high","mid","mid","low","mid",0.5,1
"1927",7951260,"mid","M","BGD HIGH","Y","N",950,200908,"Low","High","High",201002,"Mid","Mid","Off Campus","1",69,"low","College/Beyond","College/Beyond","Bachelors","low","mid","high","high","low","mid","mid","low",0.75,1
