"","STUDENT.IDENTIFIER","STDNT_AGE","STDNT_GENDER","STDNT_BACKGROUND","IN_STATE_FLAG","INTERNATIONAL_STS","STDNT_TEST_ENTRANCE_COMB","FIRST_TERM","CORE_COURSE_GRADE_1_F","CORE_COURSE_GRADE_2_F","CORE_COURSE_GRADE_3_F","SECOND_TERM","CORE_COURSE_GRADE_1_S","CORE_COURSE_GRADE_2_S","HOUSING_STS","RETURNED_2ND_YR","DISTANCE_FROM_HOME","HIGH_SCHL_GPA","FATHER_HI_EDU_DESC","MOTHER_HI_EDU_DESC","DEGREE_GROUP_DESC","FIRST_TERM_ATTEMPT_HRS","FIRST_TERM_EARNED_HRS","SECOND_TERM_ATTEMPT_HRS","SECOND_TERM_EARNED_HRS","GROSS_FIN_NEED","COST_OF_ATTEND","EST_FAM_CONTRIBUTION","UNMET_NEED","FIRST_TERM_HRS_PERCENTAGE","SECOND_TERM_HRS_PERCENTAGE"
"1",7808615,"mid","F","BGD HIGH","Y","N",1150,200708,"High","High","High",200802,"High","High","On Campus","0",150,"high","No Information","No Information","Bachelors","high","high","high","high","low","low","low","low",1,1
"2",7830063,"mid","F","BGD HIGH","N","N",1190,200808,"High","High","High",200902,"High","High","Off Campus","1",69,"low","College/Beyond","College/Beyond","Bachelors","high","high","high","high","mid","high","mid","mid",1,1
"3",7847538,"mid","M","BGD HIGH","Y","N",1030,201008,"High","High","High",201102,"High","High","On Campus","1",150,"high","High School","Other/Unknown","Bachelors","mid","high","high","high","low","low","low","low",1,1
"4",8006429,"mid","M","BGD HIGH","Y","N",1220,200708,"High","High","Mid",200802,"High","High","On Campus","1",150,"low","College/Beyond","College/Beyond","Bachelors","mid","mid","high","high","low","low","low","low",1,1
"5",7962680,"mid","F","BGD HIGH","Y","N",1190,200808,"High","High","High",200902,"High","High","Off Campus","1",69,"high","College/Beyond","High School","Bachelors","low","mid","high","high","mid","high","mid","mid",1,1
"6",7815697,"mid","M","BGD HIGH","Y","N",1070,201008,"High","High","High",201102,"High","High","Off Campus","1",69,"high","High School","College/Beyond","Bachelors","mid","high","high","high","low","low","low","low",1,1
"7",7838856,"mid","F","BGD HIGH","Y","N",590,200508,"High","High","High",200602,"High","High","Off Campus","1",0,"high","No Information","No Information","Bachelors","high","high","high","high","low","low","low","low",1,1
"8",7960448,"mid","F","BGD HIGH","Y","N",740,200508,"High","High","High",200602,"High","High","Off Campus","1",0,"high","No Information","No Information","Bachelors","high","high","high","high","low","low","low","low",1,1
"9",7944779,"mid","F","BGD MID","Y","N",1070,200508,"High","High","High",200602,"High","High","Off Campus","1",150,"high","College/Beyond","College/Beyond","Bachelors","high","high","high","high","low","low","low","low",1,1
"10",7902044,"mid","F","BGD HIGH","Y","N",970,200608,"High","High","High",200702,"High","High","Off Campus","1",69,"high","College/Beyond","College/Beyond","Bachelors","high","high","high","high","low","low","low","low",1,1
"11",7978363,"mid","M","BGD HIGH","N","N",1220,200708,"High","High","High",200802,"High","High","Off Campus","1",4501,"high","College/Beyond","College/Beyond","Bachelors","mid","high","high","high","low","high","mid","mid",1,0.833333333333333
"12",7884573,"mid","F","BGD HIGH","Y","N",1070,200708,"High","High","High",200802,"High","High","Off Campus","0",69,"high","Middle School/Junior High","High School","Bachelors","high","high","high","high","low","mid","high","low",1,1
"13",7915174,"mid","F","BGD MID","Y","N",1260,200808,"High","High","High",200902,"High","High","Off Campus","1",69,"high","No Information","No Information","Bachelors","high","high","high","high","low","low","low","low",1,1
"14",7793763,"low","M","BGD HIGH","Y","N",1220,200808,"High","High","High",200902,"High","High","Off Campus","1",0,"high","College/Beyond","High School","Bachelors","mid","high","high","high","low","mid","high","low",1,1
"15",7856147,"mid","F","BGD HIGH","Y","N",1260,201008,"High","High","Mid",201102,"High","High","On Campus","1",69,"high","College/Beyond","College/Beyond","Bachelors","mid","high","high","high","low","low","low","low",1,1
"16",7963414,"mid","F","BGD HIGH","Y","N",1220,201008,"High","High","High",201102,"High","High","On Campus","1",150,"high","High School","College/Beyond","Bachelors","high","high","high","high","low","low","low","low",1,1
"17",7824708,"mid","F","BGD HIGH","Y","N",1070,201008,"High","High","High",201102,"High","High","Off Campus","1",69,"mid","High School","College/Beyond","Bachelors","low","mid","high","high","low","low","low","low",1,0.764705882352941
"18",8004193,"low","M","BGD HIGH","N","N",1030,200908,"High","High","High",201002,"High","High","Off Campus","0",661,"high","College/Beyond","High School","Bachelors","mid","high","high","high","mid","high","mid","high",1,1
"19",7847769,"mid","M","BGD MID","Y","N",1110,201008,"High","High","High",201102,"High","High","On Campus","1",150,"low","College/Beyond","College/Beyond","Bachelors","high","mid","high","high","low","low","low","low",0.764705882352941,1
"20",7955834,"mid","F","BGD HIGH","N","N",990,200508,"High","High","High",200602,"High","High","Off Campus","1",0,"high","High School","High School","Bachelors","low","mid","high","high","mid","mid","mid","mid",1,1
"21",7835444,"mid","F","BGD MID","Y","N",910,200608,"High","High","High",200702,"High","High","On Campus","1",138,"high","College/Beyond","College/Beyond","Bachelors","low","mid","high","high","low","mid","high","low",1,1
"22",7879984,"mid","F","BGD HIGH","Y","N",1300,200608,"High","High","High",200702,"High","High","On Campus","1",283,"high","High School","College/Beyond","Bachelors","mid","high","high","high","low","low","low","low",1,1
"23",8033729,"mid","F","BGD HIGH","Y","N",1190,200708,"High","High","High",200802,"High","High","Off Campus","1",69,"high","College/Beyond","College/Beyond","Bachelors","mid","mid","high","high","low","mid","high","low",1,1
"24",8007842,"mid","F","BGD HIGH","Y","N",590,200808,"High","High","High",200902,"High","High","Off Campus","0",69,"mid","High School","High School","Bachelors","mid","high","high","high","low","low","low","low",1,1
"25",7840904,"mid","F","BGD HIGH","Y","N",1300,200808,"High","High","High",200902,"High","High","Off Campus","1",69,"high","College/Beyond","High School","Bachelors","mid","high","high","high","low","mid","low","low",1,1
"26",7884297,"mid","F","BGD MID","Y","N",1110,200808,"High","High","High",200902,"High","High","On Campus","1",138,"high","College/Beyond","High School","Bachelors","mid","mid","high","high","low","low","low","low",1,1
"27",8035107,"mid","F","BGD HIGH","Y","N",590,200508,"High","High","High",200602,"High","High","Off Campus","1",69,"high","High School","College/Beyond","Bachelors","mid","mid","high","high","low","mid","high","low",1,1
"28",7988952,"mid","F","BGD HIGH","Y","N",1110,200608,"High","High","High",200702,"High","High","On Campus","1",0,"high","No Information","High School","Bachelors","high","high","high","high","mid","mid","mid","mid",1,1
"29",7877120,"mid","F","BGD HIGH","N","N",1220,200608,"High","High","High",200702,"High","High","Off Campus","1",69,"high","No Information","No Information","Bachelors","mid","mid","high","high","low","low","low","low",1,1
"30",7889681,"mid","F","BGD HIGH","Y","N",1300,200608,"High","High","High",200702,"High","High","On Campus","1",90,"high","No Information","No Information","Bachelors","mid","mid","high","high","low","low","low","low",1,1
"31",7906085,"mid","F","BGD HIGH","Y","N",640,200708,"High","High","High",200802,"High","High","On Campus","1",150,"high","College/Beyond","College/Beyond","Bachelors","high","high","high","high","low","low","low","low",1,1
"32",7960831,"mid","F","BGD MID","Y","N",970,200808,"High","High","High",200902,"High","High","Off Campus","1",69,"high","College/Beyond","College/Beyond","Bachelors","mid","mid","high","high","low","low","low","low",1,1
"33",7979908,"low","F","BGD MID","Y","N",1110,200808,"High","High","High",200902,"High","High","Off Campus","1",0,"high","College/Beyond","High School","Bachelors","mid","high","high","high","mid","mid","mid","high",1,1
"34",7792083,"mid","F","BGD MID","Y","N",1070,200908,"High","High","High",201002,"High","High","On Campus","1",150,"high","High School","College/Beyond","Bachelors","high","high","high","high","low","high","high","low",1,1
"35",7872470,"mid","F","BGD HIGH","Y","N",1220,201008,"High","High","High",201102,"High","High","Off Campus","1",69,"high","High School","High School","Bachelors","mid","high","high","high","low","low","low","low",1,1
"36",7912174,"mid","F","BGD MID","Y","N",530,200508,"High","High","High",200602,"High","High","Off Campus","1",188,"high","College/Beyond","College/Beyond","Bachelors","mid","high","high","high","low","mid","high","low",1,1
"37",7799972,"mid","F","BGD HIGH","Y","N",640,200508,"High","High","High",200602,"High","High","On Campus","0",138,"high","No Information","No Information","Bachelors","high","high","high","high","low","low","low","low",1,1
"38",7980894,"low","F","BGD HIGH","Y","N",590,200508,"High","High","High",200602,"High","High","Off Campus","1",0,"high","College/Beyond","High School","Bachelors","mid","high","high","high","low","low","low","low",1,0.823529411764706
"39",7774359,"mid","M","BGD HIGH","Y","N",590,200508,"High","High","High",200602,"High","High","Off Campus","1",90,"high","College/Beyond","College/Beyond","Bachelors","mid","high","high","high","low","low","low","low",1,1
"40",7924473,"mid","M","BGD HIGH","Y","N",1220,200508,"High","High","High",200602,"High","High","Off Campus","1",150,"mid","College/Beyond","High School","Bachelors","mid","high","high","high","low","low","low","low",1,1
"41",7979978,"mid","F","BGD HIGH","Y","N",970,200508,"High","High","High",200602,"High","High","Off Campus","1",69,"high","No Information","No Information","Bachelors","mid","high","mid","mid","low","low","low","low",1,1
"42",7888437,"mid","F","BGD HIGH","N","N",1260,200508,"High","High","High",200602,"High","High","Off Campus","1",614,"high","No Information","No Information","Bachelors","high","high","high","high","low","mid","low","low",1,1
"43",7817369,"mid","F","BGD HIGH","Y","N",640,200608,"High","High","High",200702,"High","High","Off Campus","1",69,"high","No Information","No Information","Bachelors","high","high","high","high","low","low","low","low",1,1
"44",7807175,"mid","F","BGD HIGH","Y","N",1030,200608,"High","High","High",200702,"High","High","On Campus","1",69,"high","Middle School/Junior High","High School","Bachelors","mid","high","high","high","mid","mid","low","high",1,1
"45",7800120,"mid","F","BGD HIGH","Y","N",590,200608,"High","High","High",200702,"High","High","Off Campus","1",0,"high","College/Beyond","College/Beyond","Bachelors","mid","high","high","high","low","high","high","low",1,1
"46",7911769,"mid","F","BGD HIGH","Y","N",1150,200608,"High","High","High",200702,"High","High","Off Campus","0",90,"high","College/Beyond","High School","Bachelors","mid","high","high","high","mid","mid","mid","mid",1,1
"47",7812855,"low","F","BGD HIGH","Y","N",1340,200608,"High","High","High",200702,"High","High","Off Campus","1",69,"mid","No Information","No Information","Bachelors","mid","high","high","high","low","low","low","low",1,1
"48",7922706,"mid","F","BGD HIGH","Y","N",1070,200708,"High","High","High",200802,"High","High","Off Campus","1",90,"high","High School","No Information","Bachelors","high","high","high","high","low","mid","mid","low",1,1
"49",7936910,"mid","F","BGD HIGH","Y","N",1070,200708,"High","High","High",200802,"High","High","Off Campus","1",69,"high","High School","High School","Bachelors","low","mid","high","high","high","high","low","mid",1,1
"50",7908767,"mid","F","BGD HIGH","Y","N",970,200708,"High","High","High",200802,"High","High","Off Campus","1",0,"high","No Information","No Information","Bachelors","mid","high","high","high","low","mid","low","low",1,1
"51",8012125,"mid","F","BGD HIGH","Y","N",1110,200708,"High","High","High",200802,"High","High","Off Campus","1",0,"high","Other/Unknown","High School","Bachelors","low","mid","high","high","high","high","low","high",1,1
"52",7920043,"mid","F","BGD MID","Y","N",1070,200808,"High","High","High",200902,"High","High","Off Campus","1",69,"high","Middle School/Junior High","Middle School/Junior High","Bachelors","low","mid","high","high","high","mid","low","high",1,1
"53",8021841,"mid","F","BGD HIGH","Y","N",970,200908,"High","High","High",201002,"High","High","On Campus","1",99.8251851851852,"high","High School","College/Beyond","Bachelors","mid","high","high","high","high","high","low","mid",1,0.866666666666667
"54",7913009,"mid","F","BGD HIGH","Y","N",1260,200908,"High","High","Mid",201002,"High","High","On Campus","1",150,"low","College/Beyond","High School","Bachelors","mid","mid","high","high","mid","high","mid","mid",1,1
"55",8036557,"mid","F","BGD HIGH","Y","N",530,200908,"High","High","High",201002,"High","High","On Campus","1",150,"high","High School","College/Beyond","Bachelors","mid","high","high","high","high","high","low","mid",1,1
"56",7918673,"mid","F","BGD HIGH","Y","N",1340,200908,"High","High","High",201002,"High","High","On Campus","1",90,"high","No Information","No Information","Bachelors","mid","mid","high","high","low","low","low","low",1,1
"57",7889645,"mid","F","BGD HIGH","Y","N",1190,201008,"High","High","High",201102,"High","High","Off Campus","0",69,"high","College/Beyond","High School","Bachelors","mid","mid","high","high","low","low","low","low",0.714285714285714,1
"58",7853296,"mid","M","BGD HIGH","Y","N",1190,201008,"High","High","High",201102,"High","High","Off Campus","1",0,"high","No Information","No Information","Bachelors","mid","high","high","high","low","mid","low","low",1,1
"59",7982184,"mid","F","BGD HIGH","N","N",1190,201008,"High","High","High",201102,"High","High","Off Campus","1",69,"high","College/Beyond","High School","Bachelors","mid","mid","high","high","low","low","low","low",0.692307692307692,1
"60",7832824,"mid","M","BGD HIGH","Y","N",1190,200908,"High","High","High",201002,"High","High","Off Campus","1",69,"high","High School","High School","Bachelors","mid","mid","high","high","low","low","low","low",1,1
"61",7804470,"mid","M","BGD HIGH","Y","N",1380,200908,"High","High","High",201002,"High","High","Off Campus","1",69,"high","College/Beyond","College/Beyond","Bachelors","high","high","high","high","low","low","low","low",1,1
"62",7767164,"low","F","BGD HIGH","Y","N",1150,201008,"High","High","High",201102,"High","High","Off Campus","1",69,"high","Other/Unknown","High School","Bachelors","low","mid","high","high","low","low","low","low",1,1
"63",7811151,"mid","F","BGD HIGH","Y","N",970,201008,"High","High","High",201102,"High","High","Off Campus","1",0,"high","Other/Unknown","College/Beyond","Bachelors","high","high","high","high","low","low","low","low",1,1
"64",7767339,"mid","M","BGD MID","Y","N",1150,200508,"High","High","High",200602,"High","High","Off Campus","1",0,"high","High School","College/Beyond","Bachelors","mid","mid","high","high","low","low","low","low",1,1
"65",7924651,"mid","M","BGD HIGH","Y","N",1190,200508,"High","High","Mid",200602,"High","High","Off Campus","1",69,"high","High School","No Information","Bachelors","mid","high","high","high","low","low","low","low",1,1
"66",7890157,"mid","M","BGD HIGH","Y","N",1260,200708,"High","High","High",200802,"High","High","On Campus","1",59,"high","College/Beyond","High School","Bachelors","high","high","high","high","low","low","low","low",1,1
"67",7756755,"mid","F","BGD HIGH","Y","N",1150,200508,"High","High","High",200602,"High","High","On Campus","1",69,"high","College/Beyond","College/Beyond","Bachelors","mid","high","high","high","low","low","low","low",1,1
"68",8001580,"mid","M","BGD MID","Y","N",1190,200808,"High","High","Mid",200902,"High","High","Off Campus","1",150,"high","College/Beyond","College/Beyond","Bachelors","high","high","high","high","low","low","low","low",1,1
"69",7877781,"mid","M","BGD HIGH","Y","N",970,201008,"High","High","High",201102,"High","High","Off Campus","1",69,"high","College/Beyond","College/Beyond","Bachelors","mid","mid","high","high","low","mid","low","low",1,1
"70",7970735,"mid","F","BGD HIGH","Y","N",1150,201008,"High","High","High",201102,"High","High","Off Campus","1",69,"high","College/Beyond","College/Beyond","Bachelors","mid","high","high","high","low","mid","mid","low",1,1
"71",8000195,"mid","F","BGD HIGH","N","N",970,200708,"High","High","Mid",200802,"High","High","Off Campus","1",997,"high","College/Beyond","College/Beyond","Bachelors","mid","mid","high","high","low","mid","high","low",0.928571428571429,1
"72",7885602,"mid","F","BGD MID","Y","N",990,201008,"High","High","High",201102,"High","High","Off Campus","1",69,"high","No Information","No Information","Bachelors","mid","high","high","high","low","low","low","low",1,1
"73",7819389,"mid","M","BGD MID","Y","N",990,200508,"High","High","High",200602,"High","High","On Campus","1",0,"high","High School","No Information","Bachelors","mid","mid","high","high","mid","mid","low","mid",1,1
"74",7807583,"mid","F","BGD MID","Y","N",1380,200508,"High","High","Mid",200602,"High","High","Off Campus","0",69,"high","No Information","No Information","Bachelors","high","high","high","high","low","low","low","low",1,1
"75",8002726,"mid","F","BGD HIGH","Y","N",1150,200508,"High","High","Mid",200602,"High","High","On Campus","1",69,"high","Other/Unknown","High School","Bachelors","low","mid","high","high","low","low","low","low",1,1
"76",7925537,"mid","M","BGD HIGH","Y","N",1030,200608,"High","High","High",200702,"High","High","Off Campus","1",69,"high","No Information","No Information","Bachelors","low","mid","high","high","low","low","low","low",1,1
"77",8012858,"mid","M","BGD HIGH","Y","N",1150,200608,"High","High","High",200702,"High","High","Off Campus","1",181,"high","College/Beyond","College/Beyond","Bachelors","mid","high","high","high","low","low","low","low",1,1
"78",7941787,"mid","M","BGD HIGH","Y","N",640,200608,"High","High","Mid",200702,"High","High","Off Campus","1",69,"mid","No Information","No Information","Bachelors","low","mid","high","high","low","low","low","low",1,1
"79",8025317,"mid","M","BGD HIGH","Y","N",1070,200708,"High","High","Mid",200802,"High","High","Off Campus","1",69,"mid","College/Beyond","College/Beyond","Bachelors","mid","mid","high","high","low","low","low","low",0.692307692307692,1
"80",8014090,"mid","F","BGD HIGH","Y","N",990,200708,"High","High","High",200802,"High","High","Off Campus","1",69,"high","No Information","No Information","Bachelors","mid","high","high","high","low","low","low","low",1,1
"81",7945015,"mid","F","BGD MID","Y","N",970,200708,"High","High","High",200802,"High","High","On Campus","1",150,"high","No Information","College/Beyond","Bachelors","mid","mid","high","high","high","mid","low","mid",1,1
"82",7905853,"mid","F","BGD HIGH","Y","N",1190,200808,"High","High","High",200902,"High","High","Off Campus","1",69,"high","High School","College/Beyond","Bachelors","mid","high","high","high","low","low","low","low",1,1
"83",7760282,"mid","F","BGD HIGH","Y","N",950,200808,"High","High","High",200902,"High","High","Off Campus","1",69,"high","High School","High School","Bachelors","mid","mid","high","high","low","low","low","low",0.733333333333333,1
"84",7765189,"mid","M","BGD HIGH","Y","N",1190,200808,"High","High","High",200902,"High","High","Off Campus","1",150,"high","College/Beyond","College/Beyond","Bachelors","mid","high","high","high","low","high","high","low",1,1
"85",7935064,"mid","F","BGD HIGH","Y","N",1220,200808,"High","High","High",200902,"High","High","On Campus","0",69,"high","High School","High School","Bachelors","mid","high","high","high","low","low","low","low",1,1
"86",7805566,"low","F","BGD HIGH","Y","N",1150,200808,"High","High","High",200902,"High","High","Off Campus","0",0,"high","College/Beyond","College/Beyond","Bachelors","mid","mid","high","high","low","high","high","low",1,1
"87",7976695,"mid","F","BGD MID","Y","N",1220,200908,"High","High","High",201002,"High","High","Off Campus","1",69,"high","High School","High School","Bachelors","mid","high","high","high","low","high","high","low",1,1
"88",8027405,"mid","F","BGD MID","N","Y",690,200908,"High","High","Mid",201002,"High","High","On Campus","1",59,"high","No Information","No Information","Bachelors","mid","high","high","high","low","mid","low","low",1,1
"89",7815544,"mid","F","BGD HIGH","Y","N",970,200908,"High","High","High",201002,"High","High","On Campus","0",150,"high","College/Beyond","College/Beyond","Bachelors","mid","high","high","high","low","low","low","low",1,1
"90",7759815,"mid","M","BGD HIGH","Y","N",1260,200908,"High","High","High",201002,"High","High","On Campus","0",150,"high","College/Beyond","College/Beyond","Bachelors","mid","high","high","high","high","high","low","mid",1,1
"91",8021373,"mid","F","BGD HIGH","Y","N",1030,200908,"High","High","Mid",201002,"High","High","On Campus","0",90,"high","No Information","No Information","Bachelors","mid","mid","high","high","low","mid","low","low",0.733333333333333,1
"92",8002109,"mid","F","BGD HIGH","Y","N",1110,201008,"High","High","High",201102,"High","High","Off Campus","1",69,"low","College/Beyond","College/Beyond","Bachelors","mid","mid","high","high","low","low","low","low",1,1
"93",8012821,"mid","F","BGD HIGH","Y","N",1340,201008,"High","High","High",201102,"High","High","On Campus","1",90,"high","College/Beyond","College/Beyond","Bachelors","high","high","high","high","low","low","low","low",1,1
"94",7890308,"mid","M","BGD HIGH","Y","N",990,201008,"High","High","High",201102,"High","High","On Campus","0",138,"high","College/Beyond","College/Beyond","Bachelors","mid","high","high","high","low","low","low","low",1,1
"95",7962536,"mid","F","BGD HIGH","Y","N",950,201008,"High","High","High",201102,"High","High","Off Campus","1",69,"high","College/Beyond","High School","Bachelors","mid","mid","high","high","low","low","low","low",0.733333333333333,1
"96",7879825,"low","F","BGD HIGH","Y","N",1110,201008,"High","High","High",201102,"High","High","On Campus","0",138,"high","College/Beyond","College/Beyond","Bachelors","low","mid","high","high","low","low","low","low",1,1
"97",7970951,"mid","F","BGD HIGH","Y","N",1260,200708,"High","High","Mid",200802,"High","High","On Campus","1",69,"low","High School","High School","Bachelors","mid","mid","high","high","low","low","low","low",1,1
"98",7820580,"mid","M","BGD HIGH","Y","N",1300,200708,"High","High","High",200802,"High","High","On Campus","1",0,"high","College/Beyond","High School","Bachelors","low","mid","high","high","low","low","low","low",1,1
"99",7908314,"mid","F","BGD MID","Y","N",1220,200708,"High","High","Mid",200802,"High","High","Off Campus","1",69,"high","High School","Other/Unknown","Bachelors","low","mid","high","high","low","mid","low","low",1,1
"100",7806820,"mid","M","BGD HIGH","N","N",1300,200808,"High","High","Mid",200902,"High","High","Off Campus","1",666,"high","College/Beyond","College/Beyond","Bachelors","mid","high","high","high","low","low","low","low",1,1
"101",7904751,"mid","F","BGD HIGH","N","N",1190,200608,"High","High","High",200702,"High","High","Off Campus","1",69,"high","College/Beyond","High School","Bachelors","mid","high","high","high","high","high","low","high",1,1
"102",7787507,"mid","F","BGD HIGH","Y","N",1260,200508,"High","High","High",200602,"High","High","Off Campus","1",69,"high","College/Beyond","High School","Bachelors","low","mid","high","high","low","mid","high","low",1,1
"103",7946529,"mid","M","BGD HIGH","Y","N",1380,200808,"High","High","Mid",200902,"High","High","Off Campus","1",69,"high","College/Beyond","College/Beyond","Bachelors","mid","high","high","high","low","low","low","low",1,1
"104",7827591,"mid","F","BGD MID","Y","N",1070,200608,"High","High","High",200702,"High","High","Off Campus","1",69,"high","College/Beyond","Middle School/Junior High","Bachelors","mid","high","high","high","low","low","low","low",1,1
"105",7807126,"low","F","BGD HIGH","N","N",1110,200808,"High","High","High",200902,"High","High","On Campus","1",190,"high","College/Beyond","High School","Bachelors","mid","high","high","high","mid","high","mid","low",1,1
"106",7802791,"low","M","BGD HIGH","Y","N",1190,201008,"High","High","Mid",201102,"High","High","Off Campus","1",69,"mid","College/Beyond","College/Beyond","Bachelors","high","mid","high","high","low","low","low","low",0.75,1
"107",7836113,"mid","F","BGD HIGH","Y","N",690,200608,"High","High","Mid",200702,"High","High","Off Campus","1",150,"high","College/Beyond","College/Beyond","Bachelors","high","high","high","high","low","low","low","low",1,1
"108",7812638,"mid","F","BGD HIGH","N","N",970,200808,"High","High","Mid",200902,"High","High","Off Campus","1",69,"high","High School","College/Beyond","Bachelors","mid","mid","high","high","low","low","low","low",0.8,1
"109",7833640,"mid","F","BGD HIGH","Y","N",870,200808,"High","High","Mid",200902,"High","High","Off Campus","1",69,"high","High School","High School","Bachelors","mid","mid","high","high","high","high","low","high",1,1
"110",7846009,"mid","F","BGD MID","Y","N",590,200808,"High","High","High",200902,"High","High","Off Campus","1",69,"high","College/Beyond","College/Beyond","Bachelors","mid","high","high","high","low","low","low","low",1,1
"111",7846144,"mid","F","BGD HIGH","Y","N",1150,201008,"High","High","Mid",201102,"High","High","On Campus","1",138,"high","Other/Unknown","Other/Unknown","Bachelors","mid","high","high","high","low","low","low","low",1,1
"112",7977200,"mid","F","BGD HIGH","Y","N",1030,200808,"High","High","Mid",200902,"High","High","Off Campus","1",69,"high","College/Beyond","College/Beyond","Bachelors","mid","high","high","high","low","low","low","low",1,1
"113",8010338,"mid","F","BGD HIGH","Y","N",950,200908,"High","High","High",201002,"High","High","Off Campus","1",69,"high","Middle School/Junior High","College/Beyond","Bachelors","mid","high","high","high","high","high","low","high",1,1
"114",7836794,"mid","F","BGD MID","Y","N",970,200908,"High","High","High",201002,"High","High","On Campus","1",90,"high","College/Beyond","High School","Bachelors","low","mid","high","high","high","high","low","mid",0.666666666666667,1
"115",7968516,"mid","F","BGD HIGH","Y","N",1030,201008,"High","High","High",201102,"High","High","Off Campus","1",69,"high","College/Beyond","College/Beyond","Bachelors","low","mid","high","high","low","low","low","low",1,0.764705882352941
"116",7957617,"mid","F","BGD HIGH","Y","N",1150,200708,"High","High","High",200802,"High","High","Off Campus","0",0,"high","No Information","No Information","Bachelors","low","mid","high","high","low","mid","low","low",1,1
"117",7808603,"mid","F","BGD MID","Y","N",950,200808,"High","High","High",200902,"High","High","Off Campus","1",0,"high","Other/Unknown","High School","Bachelors","mid","mid","high","high","high","high","low","high",1,1
"118",7944615,"low","F","BGD HIGH","Y","N",970,200908,"High","High","High",201002,"High","High","Off Campus","1",69,"high","High School","High School","Bachelors","mid","high","high","high","high","high","low","low",1,1
"119",7958023,"mid","F","BGD MID","Y","N",950,200908,"High","High","High",201002,"High","High","Off Campus","1",69,"low","College/Beyond","High School","Bachelors","mid","mid","high","high","low","low","low","low",1,1
"120",7955083,"mid","F","BGD MID","Y","N",950,200908,"High","High","High",201002,"High","High","On Campus","1",150,"low","College/Beyond","College/Beyond","Bachelors","mid","high","high","high","low","mid","high","low",1,1
"121",7953008,"mid","M","BGD HIGH","N","N",990,200508,"High","High","High",200602,"High","High","Off Campus","1",0,"high","No Information","No Information","Bachelors","low","mid","high","high","low","mid","low","low",1,1
"122",7942356,"mid","F","BGD HIGH","N","N",990,200708,"High","High","High",200802,"High","High","On Campus","0",90,"high","No Information","No Information","Bachelors","mid","high","high","high","low","low","low","low",1,1
"123",7872126,"mid","M","BGD HIGH","Y","N",1300,200508,"High","High","Mid",200602,"High","High","Off Campus","1",150,"high","No Information","No Information","Bachelors","mid","high","high","high","low","low","low","low",1,1
"124",7967466,"mid","F","BGD MID","Y","N",1070,200508,"High","High","High",200602,"High","High","On Campus","1",176,"high","Middle School/Junior High","College/Beyond","Bachelors","mid","high","high","high","low","low","low","low",1,1
"125",7928317,"mid","F","BGD HIGH","Y","N",950,200708,"High","High","High",200802,"High","High","On Campus","1",150,"high","College/Beyond","College/Beyond","Bachelors","mid","high","high","high","low","mid","high","low",1,1
"126",7838887,"low","M","BGD HIGH","Y","N",1300,200808,"High","High","High",200902,"High","High","Off Campus","1",69,"mid","No Information","No Information","Bachelors","high","high","high","high","low","low","low","low",1,1
"127",7782902,"mid","M","BGD HIGH","Y","N",1260,200908,"High","High","High",201002,"High","High","On Campus","1",150,"high","College/Beyond","College/Beyond","Bachelors","mid","mid","high","high","low","high","high","low",1,1
"128",8002049,"mid","F","BGD HIGH","N","N",1150,200908,"High","High","High",201002,"High","High","Off Campus","0",69,"high","High School","High School","Bachelors","low","mid","high","high","high","high","mid","high",1,1
"129",8013008,"mid","F","BGD HIGH","Y","N",1110,200508,"High","High","High",200602,"High","High","Off Campus","1",69,"high","No Information","No Information","Bachelors","mid","mid","high","high","low","mid","low","low",1,1
"130",8011493,"mid","M","BGD HIGH","Y","N",1150,200508,"High","High","High",200602,"High","High","Off Campus","1",0,"high","Other/Unknown","High School","Bachelors","low","mid","high","high","low","low","low","low",1,1
"131",7964138,"mid","F","BGD HIGH","Y","N",1110,200508,"High","High","Mid",200602,"High","High","On Campus","1",69,"high","College/Beyond","College/Beyond","Bachelors","high","high","high","high","low","low","low","low",1,0.833333333333333
"132",7940948,"mid","F","BGD HIGH","Y","N",950,200508,"High","High","High",200602,"High","High","Off Campus","1",59,"high","High School","High School","Bachelors","high","high","high","high","low","low","low","low",1,1
"133",7867837,"mid","F","BGD HIGH","Y","N",1110,200508,"High","High","High",200602,"High","High","Off Campus","1",0,"high","College/Beyond","College/Beyond","Bachelors","low","mid","high","high","low","mid","low","low",1,1
"134",7802379,"mid","F","BGD HIGH","Y","N",1070,200608,"High","High","High",200702,"High","High","Off Campus","1",69,"high","College/Beyond","College/Beyond","Bachelors","mid","high","high","high","low","mid","high","low",1,0.8125
"135",7885099,"mid","M","BGD HIGH","Y","N",970,200608,"High","High","High",200702,"High","High","Off Campus","1",69,"high","High School","College/Beyond","Bachelors","mid","mid","high","high","mid","high","mid","mid",1,1
"136",7852642,"mid","F","BGD MID","Y","N",990,200608,"High","High","High",200702,"High","High","Off Campus","1",0,"high","Other/Unknown","Middle School/Junior High","Bachelors","mid","mid","high","high","high","mid","low","mid",1,1
"137",7946144,"mid","M","BGD HIGH","Y","N",1220,200708,"High","High","High",200802,"High","High","Off Campus","1",0,"mid","College/Beyond","College/Beyond","Bachelors","mid","high","high","high","low","low","low","low",1,1
