"","RETURNED_2ND_YR","levels","n","N","percentage","varNames"
"1",1,"A",315,366,0.860655737704918,"CORE_COURSE_GRADE_1_S"
"2",1,"B",795,896,0.887276785714286,"CORE_COURSE_GRADE_1_S"
"3",1,"C",778,906,0.858719646799117,"CORE_COURSE_GRADE_1_S"
"4",1,"D",401,501,0.800399201596806,"CORE_COURSE_GRADE_1_S"
"5",1,"F",289,421,0.68646080760095,"CORE_COURSE_GRADE_1_S"
"6",1,"INCOMPL",15,26,0.576923076923077,"CORE_COURSE_GRADE_1_S"
"7",1,"missing",43,232,0.185344827586207,"CORE_COURSE_GRADE_1_S"
"8",1,"NOT REP",41,47,0.872340425531915,"CORE_COURSE_GRADE_1_S"
