"","RETURNED_2ND_YR","levels","n","N","percentage","varNames"
"1",1,"0.0",329,432,0.761574074074074,"FATHER_HI_EDU_CD"
"2",1,"1.0",71,97,0.731958762886598,"FATHER_HI_EDU_CD"
"3",1,"2.0",1047,1336,0.783682634730539,"FATHER_HI_EDU_CD"
"4",1,"3.0",1052,1309,0.80366692131398,"FATHER_HI_EDU_CD"
"5",1,"4.0",178,226,0.787610619469027,"FATHER_HI_EDU_CD"
