"","RETURNED_2ND_YR","levels","n","N","percentage","varNames"
"1",1,"N",248,337,0.735905044510386,"IN_STATE_FLAG"
"2",1,"Y",2429,3063,0.793013385569703,"IN_STATE_FLAG"
