"","RETURNED_2ND_YR","levels","n","N","percentage","varNames"
"1",1,"A",10,12,0.833333333333333,"DEGREE_GROUP_CD"
"2",1,"B",2664,3384,0.787234042553192,"DEGREE_GROUP_CD"
"3",1,"V",3,4,0.75,"DEGREE_GROUP_CD"
