"","RETURNED_2ND_YR","levels","n","N","percentage","varNames"
"1",1,"ANTH 1105",7,14,0.5,"CORE_COURSE_NAME_3_F"
"2",1,"ANTH 1107",1,1,1,"CORE_COURSE_NAME_3_F"
"3",1,"ARTH 1100",55,76,0.723684210526316,"CORE_COURSE_NAME_3_F"
"4",1,"ARTH 1100I",4,5,0.8,"CORE_COURSE_NAME_3_F"
"5",1,"ASTR 1105",2,2,1,"CORE_COURSE_NAME_3_F"
"6",1,"ASTR 1305",2,2,1,"CORE_COURSE_NAME_3_F"
"7",1,"BIOL 1125",3,4,0.75,"CORE_COURSE_NAME_3_F"
"8",1,"BIOL 1215K",14,22,0.636363636363636,"CORE_COURSE_NAME_3_F"
"9",1,"BIOL 1225K",1,1,1,"CORE_COURSE_NAME_3_F"
"10",1,"CHEM 1151",25,35,0.714285714285714,"CORE_COURSE_NAME_3_F"
"11",1,"CHEM 1151L",77,105,0.733333333333333,"CORE_COURSE_NAME_3_F"
"12",1,"CHEM 1211",20,22,0.909090909090909,"CORE_COURSE_NAME_3_F"
"13",1,"CHEM 1211L",75,95,0.789473684210526,"CORE_COURSE_NAME_3_F"
"14",1,"COMM 1110",133,158,0.841772151898734,"CORE_COURSE_NAME_3_F"
"15",1,"COMM 1110H",2,3,0.666666666666667,"CORE_COURSE_NAME_3_F"
"16",1,"COMM 1110I",5,6,0.833333333333333,"CORE_COURSE_NAME_3_F"
"17",1,"CPSC 1105",15,17,0.882352941176471,"CORE_COURSE_NAME_3_F"
"18",1,"CPSC 1301",22,26,0.846153846153846,"CORE_COURSE_NAME_3_F"
"19",1,"CPSC 1301L",25,35,0.714285714285714,"CORE_COURSE_NAME_3_F"
"20",1,"ECON 2105",25,30,0.833333333333333,"CORE_COURSE_NAME_3_F"
"21",1,"ECON 2106",13,21,0.619047619047619,"CORE_COURSE_NAME_3_F"
"22",1,"ENGL 1101",438,568,0.77112676056338,"CORE_COURSE_NAME_3_F"
"23",1,"ENGL 1101I",15,27,0.555555555555556,"CORE_COURSE_NAME_3_F"
"24",1,"ENGL 1102",11,20,0.55,"CORE_COURSE_NAME_3_F"
"25",1,"ENGL 2111",1,1,1,"CORE_COURSE_NAME_3_F"
"26",1,"ENVS 1105",10,14,0.714285714285714,"CORE_COURSE_NAME_3_F"
"27",1,"ENVS 1105I",8,9,0.888888888888889,"CORE_COURSE_NAME_3_F"
"28",1,"FREN 1001",15,17,0.882352941176471,"CORE_COURSE_NAME_3_F"
"29",1,"FREN 1002",3,4,0.75,"CORE_COURSE_NAME_3_F"
"30",1,"GEOG 1101I",1,2,0.5,"CORE_COURSE_NAME_3_F"
"31",1,"GEOL 1110",5,5,1,"CORE_COURSE_NAME_3_F"
