"","RETURNED_2ND_YR","levels","n","N","percentage","varNames"
"93",1,"SCHOOL 206",2,3,0.666666666666667,"HIGH_SCHL_NAME"
"94",1,"SCHOOL 207",1,2,0.5,"HIGH_SCHL_NAME"
"95",1,"SCHOOL 21",2,2,1,"HIGH_SCHL_NAME"
"96",1,"SCHOOL 213",2,3,0.666666666666667,"HIGH_SCHL_NAME"
"97",1,"SCHOOL 214",1,1,1,"HIGH_SCHL_NAME"
"98",1,"SCHOOL 215",4,4,1,"HIGH_SCHL_NAME"
"99",1,"SCHOOL 216",6,8,0.75,"HIGH_SCHL_NAME"
"100",1,"SCHOOL 217",1,1,1,"HIGH_SCHL_NAME"
"101",1,"SCHOOL 218",1,3,0.333333333333333,"HIGH_SCHL_NAME"
"102",1,"SCHOOL 219",2,2,1,"HIGH_SCHL_NAME"
"103",1,"SCHOOL 22",21,32,0.65625,"HIGH_SCHL_NAME"
"104",1,"SCHOOL 220",3,3,1,"HIGH_SCHL_NAME"
"105",1,"SCHOOL 223",1,1,1,"HIGH_SCHL_NAME"
"106",1,"SCHOOL 226",2,4,0.5,"HIGH_SCHL_NAME"
"107",1,"SCHOOL 227",2,3,0.666666666666667,"HIGH_SCHL_NAME"
"108",1,"SCHOOL 228",4,4,1,"HIGH_SCHL_NAME"
"109",1,"SCHOOL 229",6,7,0.857142857142857,"HIGH_SCHL_NAME"
"110",1,"SCHOOL 23",8,10,0.8,"HIGH_SCHL_NAME"
"111",1,"SCHOOL 230",8,8,1,"HIGH_SCHL_NAME"
"112",1,"SCHOOL 231",1,1,1,"HIGH_SCHL_NAME"
"113",1,"SCHOOL 232",2,2,1,"HIGH_SCHL_NAME"
"114",1,"SCHOOL 233",1,1,1,"HIGH_SCHL_NAME"
"115",1,"SCHOOL 234",1,1,1,"HIGH_SCHL_NAME"
"116",1,"SCHOOL 235",6,6,1,"HIGH_SCHL_NAME"
"117",1,"SCHOOL 236",9,10,0.9,"HIGH_SCHL_NAME"
"118",1,"SCHOOL 238",1,1,1,"HIGH_SCHL_NAME"
"119",1,"SCHOOL 239",1,1,1,"HIGH_SCHL_NAME"
"120",1,"SCHOOL 24",24,31,0.774193548387097,"HIGH_SCHL_NAME"
"121",1,"SCHOOL 240",7,7,1,"HIGH_SCHL_NAME"
"122",1,"SCHOOL 241",1,2,0.5,"HIGH_SCHL_NAME"
"123",1,"SCHOOL 243",1,1,1,"HIGH_SCHL_NAME"
"124",1,"SCHOOL 244",1,1,1,"HIGH_SCHL_NAME"
"125",1,"SCHOOL 245",4,4,1,"HIGH_SCHL_NAME"
"126",1,"SCHOOL 247",2,3,0.666666666666667,"HIGH_SCHL_NAME"
"127",1,"SCHOOL 248",1,2,0.5,"HIGH_SCHL_NAME"
"128",1,"SCHOOL 249",1,1,1,"HIGH_SCHL_NAME"
"129",1,"SCHOOL 25",9,12,0.75,"HIGH_SCHL_NAME"
"130",1,"SCHOOL 253",1,3,0.333333333333333,"HIGH_SCHL_NAME"
"131",1,"SCHOOL 256",1,3,0.333333333333333,"HIGH_SCHL_NAME"
"132",1,"SCHOOL 257",4,5,0.8,"HIGH_SCHL_NAME"
"133",1,"SCHOOL 258",3,3,1,"HIGH_SCHL_NAME"
"134",1,"SCHOOL 259",3,3,1,"HIGH_SCHL_NAME"
"135",1,"SCHOOL 26",7,8,0.875,"HIGH_SCHL_NAME"
"136",1,"SCHOOL 260",5,7,0.714285714285714,"HIGH_SCHL_NAME"
"137",1,"SCHOOL 262",8,10,0.8,"HIGH_SCHL_NAME"
"138",1,"SCHOOL 263",8,11,0.727272727272727,"HIGH_SCHL_NAME"
"139",1,"SCHOOL 264",1,1,1,"HIGH_SCHL_NAME"
"140",1,"SCHOOL 267",1,2,0.5,"HIGH_SCHL_NAME"
"141",1,"SCHOOL 268",5,5,1,"HIGH_SCHL_NAME"
"142",1,"SCHOOL 27",56,71,0.788732394366197,"HIGH_SCHL_NAME"
"143",1,"SCHOOL 270",3,3,1,"HIGH_SCHL_NAME"
"144",1,"SCHOOL 271",2,4,0.5,"HIGH_SCHL_NAME"
"145",1,"SCHOOL 272",1,2,0.5,"HIGH_SCHL_NAME"
"146",1,"SCHOOL 273",2,2,1,"HIGH_SCHL_NAME"
"147",1,"SCHOOL 274",3,3,1,"HIGH_SCHL_NAME"
"148",1,"SCHOOL 276",1,1,1,"HIGH_SCHL_NAME"
"149",1,"SCHOOL 277",4,5,0.8,"HIGH_SCHL_NAME"
"150",1,"SCHOOL 278",1,1,1,"HIGH_SCHL_NAME"
"151",1,"SCHOOL 279",3,3,1,"HIGH_SCHL_NAME"
"152",1,"SCHOOL 28",12,16,0.75,"HIGH_SCHL_NAME"
"153",1,"SCHOOL 280",6,7,0.857142857142857,"HIGH_SCHL_NAME"
"154",1,"SCHOOL 283",3,3,1,"HIGH_SCHL_NAME"
"155",1,"SCHOOL 284",2,2,1,"HIGH_SCHL_NAME"
"156",1,"SCHOOL 285",1,1,1,"HIGH_SCHL_NAME"
"157",1,"SCHOOL 286",3,4,0.75,"HIGH_SCHL_NAME"
"158",1,"SCHOOL 287",1,1,1,"HIGH_SCHL_NAME"
"159",1,"SCHOOL 288",2,3,0.666666666666667,"HIGH_SCHL_NAME"
"160",1,"SCHOOL 289",3,3,1,"HIGH_SCHL_NAME"
"161",1,"SCHOOL 29",15,20,0.75,"HIGH_SCHL_NAME"
"162",1,"SCHOOL 291",2,3,0.666666666666667,"HIGH_SCHL_NAME"
"163",1,"SCHOOL 292",1,1,1,"HIGH_SCHL_NAME"
"164",1,"SCHOOL 293",4,4,1,"HIGH_SCHL_NAME"
"165",1,"SCHOOL 294",1,1,1,"HIGH_SCHL_NAME"
"166",1,"SCHOOL 295",12,14,0.857142857142857,"HIGH_SCHL_NAME"
"167",1,"SCHOOL 297",3,3,1,"HIGH_SCHL_NAME"
"168",1,"SCHOOL 298",4,4,1,"HIGH_SCHL_NAME"
"169",1,"SCHOOL 299",1,1,1,"HIGH_SCHL_NAME"
"170",1,"SCHOOL 3",19,24,0.791666666666667,"HIGH_SCHL_NAME"
"171",1,"SCHOOL 30",6,10,0.6,"HIGH_SCHL_NAME"
"172",1,"SCHOOL 300",3,5,0.6,"HIGH_SCHL_NAME"
"173",1,"SCHOOL 302",1,2,0.5,"HIGH_SCHL_NAME"
"174",1,"SCHOOL 303",1,2,0.5,"HIGH_SCHL_NAME"
