"","RETURNED_2ND_YR","levels","n","N","percentage","varNames"
"1",1,"A",632,745,0.848322147651007,"CORE_COURSE_GRADE_2_F"
"2",1,"B",1105,1339,0.825242718446602,"CORE_COURSE_GRADE_2_F"
"3",1,"C",581,795,0.730817610062893,"CORE_COURSE_GRADE_2_F"
"4",1,"D",209,292,0.715753424657534,"CORE_COURSE_GRADE_2_F"
"5",1,"F",66,123,0.536585365853659,"CORE_COURSE_GRADE_2_F"
"6",1,"INCOMPL",2,4,0.5,"CORE_COURSE_GRADE_2_F"
"7",1,"missing",79,99,0.797979797979798,"CORE_COURSE_GRADE_2_F"
"8",1,"NOT REP",3,3,1,"CORE_COURSE_GRADE_2_F"
