"","RETURNED_2ND_YR","levels","n","N","percentage","varNames"
"1",1,"ANTH 1105",12,17,0.705882352941177,"CORE_COURSE_NAME_2_F"
"2",1,"ANTH 1105I",4,4,1,"CORE_COURSE_NAME_2_F"
"3",1,"ANTH 1107",1,1,1,"CORE_COURSE_NAME_2_F"
"4",1,"ARTH 1100",87,113,0.769911504424779,"CORE_COURSE_NAME_2_F"
"5",1,"ARTH 1100I",7,11,0.636363636363636,"CORE_COURSE_NAME_2_F"
"6",1,"ASTR 1105",17,18,0.944444444444444,"CORE_COURSE_NAME_2_F"
"7",1,"ASTR 1305",1,1,1,"CORE_COURSE_NAME_2_F"
"8",1,"BIOL 1125",16,20,0.8,"CORE_COURSE_NAME_2_F"
"9",1,"BIOL 1215K",32,41,0.780487804878049,"CORE_COURSE_NAME_2_F"
"10",1,"CHEM 1151",68,84,0.80952380952381,"CORE_COURSE_NAME_2_F"
"11",1,"CHEM 1151L",71,83,0.855421686746988,"CORE_COURSE_NAME_2_F"
"12",1,"CHEM 1211",52,67,0.776119402985075,"CORE_COURSE_NAME_2_F"
"13",1,"CHEM 1211L",98,118,0.830508474576271,"CORE_COURSE_NAME_2_F"
"14",1,"COMM 1110",167,217,0.769585253456221,"CORE_COURSE_NAME_2_F"
"15",1,"COMM 1110H",2,2,1,"CORE_COURSE_NAME_2_F"
"16",1,"COMM 1110I",10,14,0.714285714285714,"CORE_COURSE_NAME_2_F"
"17",1,"CPSC 1105",20,24,0.833333333333333,"CORE_COURSE_NAME_2_F"
"18",1,"CPSC 1301",33,43,0.767441860465116,"CORE_COURSE_NAME_2_F"
"19",1,"CPSC 1301L",22,28,0.785714285714286,"CORE_COURSE_NAME_2_F"
"20",1,"ECON 2105",44,53,0.830188679245283,"CORE_COURSE_NAME_2_F"
"21",1,"ECON 2106",40,53,0.754716981132076,"CORE_COURSE_NAME_2_F"
"22",1,"ENGL 1101",575,736,0.78125,"CORE_COURSE_NAME_2_F"
"23",1,"ENGL 1101I",19,22,0.863636363636364,"CORE_COURSE_NAME_2_F"
